Emotions,Path
neutral,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav
neutral,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav
neutral,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav
neutral,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-01-01-01-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-01-01-02-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-01-02-01-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-01-02-02-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-02-01-01-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-02-01-02-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-02-02-01-01.wav
calm,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-02-02-02-02-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-01-02-01-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-02-01-02-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-02-02-01-01.wav
happy,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-03-02-02-02-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-01-01-01-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-01-01-02-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-01-02-01-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-01-02-02-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-02-01-01-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-02-01-02-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-02-02-01-01.wav
sad,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-04-02-02-02-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-01-01-01-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-01-01-02-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-01-02-01-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-01-02-02-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-02-01-01-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-02-01-02-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-02-02-01-01.wav
angry,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-05-02-02-02-01.wav
fear,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-06-01-01-01-01.wav
fear,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-06-01-01-02-01.wav
fear,/mnt/d/Datasets/SpeechEmotionRecognition/RAVDESS/Actor_01/03-01-06-01-02-01-01.wav
